PurchaseSell,Date,Purchase Price,VIN,Model,Year,Vehicle Description,Manufacturer,Condition,Type,Odometer,Colors,Username,Customer Email,Customer Phone,Customer Street Address,Customer City,Customer State,Customer ZIP,Persons Driver License,Persons First Name,Persons Last Name,Tax Number,Business Name,Contact First Name,Contact Last Name,Contact Title,customerID
Purchase,6/25/2019,1012.7,036JZFZ8I3K433701,Q45,2003,disc brake; ,INFINITI,Excellent,Sedan,79683,Metallic,user03,lhaufler@zathunicon.com,9953808583,2797 5-street,El Paso,TX,45787,,,,94-0706896,Mathtouch,Valentine,Kulzer,Senior Manager M1,308
Purchase,3/12/2019,3801.73,05AJ273ZM02946325,C7500 TOPKICK,2004,,GMC,Excellent,SUV,159990,Navy,user06,ebaltimore@singletechno.com,5858632305,6792 5-street,Jacksonville,FL,71766,A2628970055,Cristy,Acey,,,,,,23
Purchase,4/10/2019,4751.22,05WXEVLB5X8956206,SRX,2009,fuel injection; ,Cadillac,Fair,SUV,24135,White,user12,tperin@blackzim.com,718891515,6078 4-street,Anchorage,CA,89677,,,,10-1885341,Betatech,Lai,Shin,Senior Scientist R1,282
Purchase,3/26/2019,2343.06,0HJ3WSLKGZT340626,LACROSSE,2008,engine displacement; ,Buick,Fair,SUV,17670,Rose,user03,dgalam@lexiqvolax.com,9796761201,2852 9-street,Reno,VA,59227,A6434991693,Truman,Strassner,,,,,,40
Purchase,6/26/2019,4682.57,0KQT4QWDSFO183874,VERACRUZ,2007,anti-lock brake system (ABS); ,Hyundai,Fair,Sedan,58788,Bronze,user14,lpawlowicz@gogozoom.com,6254507435,9893 13-street,Madison,TX,95139,B0585188333,Lorrie,Boord,,,,,,70
Purchase,6/18/2019,4936.36,0OZ6776OUA0065975,MULSANNE,2014,best possible traction; ,Bentley,Very Good,Sedan,3409,Bronze;Brown;Gray,user22,pmartabano@doncon.com,9248918714,2985 14-street,Los Angeles,CA,87682,B4745861576,Brett,Toelkes,,,,,,101
Purchase,4/19/2019,2960.16,0XHRC15HS5V123753,TSX,2011,rack and pinion steering; ,Acura,Excellent,Truck,106125,Claret,user14,rmaynerich@zumgoity.com,8937050319,9964 12-street,New York,NY,2933,C7482916743,Lenna,Honeywell,,,,,,194
Purchase,6/10/2019,1741.99,0XJA8OD4GS2220202,PRIUS V,2012,superturbocharger; ,Toyota,Good,Minivan,12756,Black;Gray,user04,lahle@goodsilron.com,2533720672,3433 21-street,Jersey City,CA,97554,C2744068306,Virgie,Garufi,,,,,,162
Purchase,5/7/2019,4323.66,0Y8HTOZ7K6L112375,WRANGLER,2004,ultra new transmission; normally aspirated; hydraulic brakes; ,Jeep,Very Good,Van,139065,Maroon,user02,tbachman@konex.com,7577634102,237 5-street,St. Louis,CA,43201,C4429219457,Rhea,Pontoriero,,,,,,175
Purchase,1/25/2019,3180.75,1D377TZAWSW801985,GT,2008,no backfire/backfiring; ,Romeo,Very Good,Minivan,36111,Navy,user04,,9481709095,703 20-street,Fort Worth,TX,58757,D3829841679,Shawna,Vizarro,,,,,,231
Purchase,5/14/2019,4443.6,1D75678DO43448008,PROMASTER 2500,2016,,Ram,Good,Minivan,9230,Orange,user02,jlindall@kinnamplus.com,1267381896,2802 21-street,North Las Vegas,CA,82749,,,,12-2459515,Nam-zim,Lonny,Marrier,SalesRep M9,295
Purchase,2/11/2019,1288.83,1EW5SWZMNBU661507,TT QUATTRO,2005,best sedan; automatic transmission; engine displacement; ,Audi,Excellent,Van,61050,Beige;Claret;Gray,user22,sweight@dalttechnology.com,5857219334,5406 12-street,Santa Ana,MO,67088,,,,62-2765556,Kan-code,Truman,Miro,Senior Director L2,269
Purchase,5/23/2019,1442.39,1J1RMS1AO48718511,COOPER COUNTRYMAN,2013,,MINI,Excellent,Truck,34872,Blue,user24,tlinahan@labdrill.com,2738568375,1604 1-street,Omaha,NC,3539,C6508528685,Elke,Felger,,,,,,181
Purchase,6/3/2019,3071.33,1MF8O5K3V5X143850,LX570,2010,wide transaxle; ,Lexus,Fair,Minivan,104044,Turquoise,user14,,1577607406,63 19-street,Orlando,FL,68407,B0676368739,Refugia,Riden,,,,,,72
Purchase,6/11/2019,11487.14,1NVXI5JXG3Q330243,AZERA,2010,automatic valves; wide chassis; ,Hyundai,Excellent,Van,3812,Tan,user24,tfrerking@plexzap.com,2977557657,7175 16-street,Cincinnati,MN,17189,C7245495659,Oretha,Bowley,,,,,,193
Purchase,2/27/2019,1303.5,1RQR2NON75E373495,MX-5,2006,innovative air bags; ,MAZDA,Excellent,Coupe,14172,Cream,user18,ddilello@rantouch.com,7239819567,5496 3-street,Denver,CO,6934,B2804248768,Donte,Cousey,,,,,,84
Purchase,4/10/2019,2084.82,1U4MXLVV84A726331,ELISE,2007,,Lotus,Excellent,Sedan,129670,Purple,user18,,5575984000,9824 9-street,Wichita,TX,12236,A2156704547,Xochitl,Pagliuca,,,,,,20
Purchase,3/6/2019,4328.48,1WU1KQALZ75403546,LANCER,2008,active safety features; crumple zones; ,Mitsubishi,Fair,SUV,50010,Rose,user04,jfigeroa@faxquote.com,7988113075,9685 2-street,Boston,TN,22976,A9800617405,Golda,Kannady,,,,,,65
Purchase,2/9/2019,1162.56,22420XMJ47N471618,S,2013,supernew catalytic converter; ,Tesla,Very Good,SUV,111720,White,user14,cleto@ontomedia.com,6430223893,3244 1-street,Plano,NV,60791,B4543107001,Cyndy,Royster,,,,,,95
Purchase,2/5/2019,1437.67,23XI32P0M0K897737,CAYMAN,2007,,Porsche,Good,Convertible,102280,Rose,user12,jwitten@toughzap.com,6762288681,3171 20-street,Nashville-Davidson,MD,86587,D8463845828,Stephaine,Drymon,,,,,,251
Purchase,4/4/2019,3290.49,27J2LRAE38R945176,LUCERNE,2007,high volume cylinder; ,Buick,Fair,SUV,76590,White,user14,yfelger@groovestreet.com,706470748,2680 7-street,Baltimore,OK,83300,B9167611164,Mitsue,Diestel,,,,,,142
Purchase,1/3/2019,6147.28,2CEDOZQS3WI014174,MP4-12C,2016,check the Monroney sticker - there is nothing better than this vehicle; ,McLaren,Excellent,Minivan,11800,Green,user02,tfunnell@zoomit.com,5201367484,3334 8-street,Austin,TX,72284,C9903567737,Linn,Hollack,,,,,,212
Purchase,2/7/2019,4157.43,2KANK83IC2A444270,SILVERADO 2500 HD,2011,minivan; ,Chevrolet,Very Good,Convertible,100896,Rose,user22,hmontezuma@donware.com,6744378134,648 12-street,North Las Vegas,CA,54125,A4363352704,Adell,Leinenbach,,,,,,32
Purchase,2/6/2019,11122.52,2TN1NJUXESG344969,IMPREZA,2018,automatic torque converter; ,Subaru,Good,SUV,11972,Aluminum,user04,lmonarrez@doncon.com,6568801094,6786 21-street,Scottsdale,NV,80515,A1543433846,Lenna,Skulski,,,,,,11
Purchase,5/19/2019,1527.52,30IT6VOHPTN692600,RL,2002,oversteer; ,Acura,Fair,SUV,133159,Copper;Gold;Pink,user05,,838636926,8665 18-street,Detroit,MI,89762,D1490490202,Audry,Wide,,,,,,221
Purchase,5/17/2019,1528.39,30KBYEYBKH5669910,E-350 ECONOLINE CLUB WAGON,2001,best possible traction; ,Ford,Fair,Sedan,53610,Pink,user24,tregusters@ganjaflex.com,5341057929,9675 2-street,Jersey City,CA,70105,B3716300300,Art,Degroot,,,,,,92
Purchase,3/11/2019,3038.26,31ZQB40Z55B784788,456 M GTA,2002,super new ignition system; power train; ,Ferrari,Excellent,Coupe,123328,Beige;Claret;Copper,user04,earedondo@scottech.com,6670173598,8485 9-street,Fort Worth,TX,38021,,,,43-4733948,Goodsilron,Lai,Storment,Associate Manager M7,276
Purchase,4/19/2019,1815.39,35TB5QWCJW0515619,XKR,2019,ultra new transmission; ,Jaguar,Very Good,Minivan,136271,Pink,user04,bonofrio@scotfind.com,1529913151,9737 7-street,Seattle,WA,12926,B8838483933,Tamar,Rodefer,,,,,,139
Purchase,1/2/2019,1471.72,38ZSAKVC20U930606,V12 VANTAGE,2019,best sedan; ,Martin,Excellent,Minivan,137449,Gold,user24,cgibes@dontechi.com,1859590014,5092 20-street,Tulsa,OH,36477,C7821395607,Glendora,Rodeigues,,,,,,197
Purchase,4/17/2019,6353.33,3HWBBE541KJ068668,335I,2008,best oil pump; ,BMW,Excellent,Sedan,42840,Copper,user02,mcentini@singletechno.com,9919665090,5345 16-street,Reno,VA,79485,D9635369685,Carmelina,Staback,,,,,,255
Purchase,6/9/2019,4360.52,3KYD25BMOB3101135,IMPREZA,2003,drive shaft; high differential; can be used as sports car; ,Subaru,Good,Minivan,3972,Maroon,user22,eluczki@hatfan.com,389051409,3968 4-street,Newark,TX,26131,D7770361115,Luisa,Malet,,,,,,249
Purchase,6/22/2019,1697.09,3S8JO5UMV1Y166789,CAMARO,2010,very hard struts; ,Chevrolet,Very Good,Convertible,80787,Rose,user03,jkoppinger@bioplex.com,5596686485,4940 2-street,Anaheim,CA,79483,C6885206034,Jina,Bowley,,,,,,184
Purchase,3/6/2019,3641.78,3U3N6HS8K3V143011,SIERRA 2500 HD,2012,crumple zones; ,GMC,Excellent,Coupe,18870,Aluminum,user24,emauson@konmatfix.com,8269013055,6556 12-street,Oakland,MN,27258,,,,66-0947691,Zotware,Eladia,Castros,Senior Director M5,274
Purchase,5/18/2019,1111.81,3VWJ7G74MRP551283,V8 VANTAGE,2007,check the Monroney sticker - theer is nothing better than this vehicle; ,Martin,Very Good,SUV,124280,Yellow,user05,ddilello@rantouch.com,7239819567,5496 3-street,Denver,CO,6934,B2804248768,Donte,Cousey,,,,,,85
Purchase,3/2/2019,1687.58,41AHCTXZIUN699904,VANQUISH,2003,supernew catalytic converter; high torque; small spark plug gap; ,Aston,Very Good,Coupe,91080,Green,user07,amorocco@stanredtax.com,728931740,226 14-street,Tucson,CA,80383,C1172628796,Jacqueline,Shields,,,,,,153
Purchase,2/13/2019,2415,426W8PU85BH593514,IMPREZA,2011,crankcase; hydraulic brakes; ,Subaru,Fair,Sedan,52180,Rose,user24,ntoelkes@iselectrics.com,8315356658,8050 11-street,Henderson,NE,94296,A0891946418,Stephen,Pelkowski,,,,,,3
